event_id,event_type,event_name,start_time,end_time,severity,affected_equipment_id,affected_work_order_id,affected_process_code,event_status,event_label,description
EV_0001,material_shortage,生产物料缺少,2025-01-01 03:03:00+00:00,2025-01-01 03:25:00+00:00,1,,WO_0019,,closed,1,生产物料缺少
EV_0002,material_delay,原材料到货延迟,2025-01-02 08:09:00+00:00,2025-01-02 09:53:00+00:00,2,,,,closed,1,原材料到货延迟
EV_0003,consumable_rework,砂轮等易耗品修磨,2025-01-03 18:22:00+00:00,2025-01-03 19:02:00+00:00,2,vacuum_coater_01,,,closed,1,砂轮等易耗品修磨
EV_0004,consumable_shortage,辅料缺料,2025-01-03 14:51:00+00:00,2025-01-03 15:22:00+00:00,1,,,,closed,1,辅料缺料
EV_0005,plan_change,工序计划临时调整,2025-01-01 03:19:00+00:00,2025-01-01 04:11:00+00:00,1,,,,closed,1,工序计划临时调整
EV_0006,quality_hold,质量卡,2025-01-02 01:24:00+00:00,2025-01-02 02:26:00+00:00,2,,WO_0017,,closed,1,质量卡
EV_0007,task_change,任务计划变更,2025-01-02 15:05:00+00:00,2025-01-02 15:35:00+00:00,3,,,,closed,1,任务计划变更
EV_0008,insert_order,生产插单,2025-01-01 23:55:00+00:00,2025-01-02 00:44:00+00:00,1,,,,closed,1,生产插单
EV_0009,operator_absence,操作人员临时缺岗,2025-01-02 19:52:00+00:00,2025-01-02 21:05:00+00:00,2,,WO_0027,,closed,1,操作人员临时缺岗
EV_0010,quality_stop,产品质量问题停产,2025-01-01 20:20:00+00:00,2025-01-01 21:46:00+00:00,3,,WO_0031,,closed,1,产品质量问题停产
EV_0011,equipment_fault,设备故障停产,2025-01-01 06:52:00+00:00,2025-01-01 09:16:00+00:00,3,aspherical_polishing_01,,,closed,1,设备故障停产
EV_0012,facility_fault,空调或基础设施故障,2025-01-02 18:40:00+00:00,2025-01-02 19:13:00+00:00,3,,,,closed,1,空调或基础设施故障
EV_0013,maintenance,设备维修保养,2025-01-03 01:54:00+00:00,2025-01-03 04:00:00+00:00,1,magnetorheological_polisher_01,,,closed,1,设备维修保养
EV_0014,safety_incident,安全事故异常处理,2025-01-03 01:14:00+00:00,2025-01-03 03:24:00+00:00,3,,,,closed,1,安全事故异常处理
